,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,long,start,end,delta
173,358020,Calbuco,21076,Confirmed Eruption,4.0,2015,4,22,2015,5,26,-41.33,-72.618,2015-04-22,2015-05-26,34 days 00:00:00.000000000
174,345070,Turrialba,20998,Confirmed Eruption,2.0,2015,3,8,2019,10,28,10.025,-83.767,2015-03-08,2019-10-28,1695 days 00:00:00.000000000
175,344020,San Cristobal,22268,Confirmed Eruption,2.0,2015,3,5,2015,6,12,12.702,-87.004,2015-03-05,2015-06-12,99 days 00:00:00.000000000
176,290360,Chikurachki,20990,Confirmed Eruption,3.0,2015,2,16,2015,2,18,50.324,155.461,2015-02-16,2015-02-18,2 days 00:00:00.000000000
177,233020,"Fournaise, Piton de la",20982,Confirmed Eruption,0.0,2015,2,4,2015,10,31,-21.244,55.708,2015-02-04,2015-10-31,269 days 00:00:00.000000000
178,263340,Raung,21070,Confirmed Eruption,3.0,2015,2,1,2015,8,22,-8.119,114.056,2015-02-01,2015-08-22,202 days 00:00:00.000000000
179,343100,San Miguel,20994,Confirmed Eruption,1.0,2015,1,26,2015,4,11,13.434,-88.269,2015-01-26,2015-04-11,75 days 00:00:00.000000000
180,352090,Sangay,22236,Confirmed Eruption,2.0,2015,1,19,2015,4,7,-2.005,-78.341,2015-01-19,2015-04-07,78 days 00:00:00.000000000
181,266030,Soputan,20988,Confirmed Eruption,3.0,2015,1,6,2015,3,7,1.112,124.737,2015-01-06,2015-03-07,60 days 00:00:00.000000000
182,300260,Klyuchevskoy,20992,Confirmed Eruption,2.0,2015,1,1,2015,5,10,56.056,160.642,2015-01-01,2015-05-10,129 days 00:00:00.000000000
