,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,long,start,end,delta
40,266030,Soputan,22293,Confirmed Eruption,3.0,2018,10,2,2018,12,16,1.112,124.737,2018-10-02,2018-12-16,75 days 00:00:00.000000000
41,260010,Barren Island,22292,Confirmed Eruption,1.0,2018,9,25,2020,2,16,12.278,93.858,2018-09-25,2020-02-16,509 days 00:00:00.000000000
42,252120,Ulawun,22286,Confirmed Eruption,2.0,2018,9,21,2018,10,12,-5.05,151.33,2018-09-21,2018-10-12,21 days 00:00:00.000000000
43,290200,Ketoi,22287,Uncertain Eruption,1.0,2018,9,21,2018,9,21,47.35,152.475,2018-09-21,2018-09-21,0 days 00:00:00.000000000
44,290240,Sarychev Peak,22288,Confirmed Eruption,2.0,2018,9,8,2018,10,15,48.092,153.2,2018-09-08,2018-10-15,37 days 00:00:00.000000000
45,311060,Semisopochnoi,22289,Confirmed Eruption,1.0,2018,9,8,2018,10,31,51.93,179.58,2018-09-08,2018-10-31,53 days 00:00:00.000000000
46,312070,Veniaminof,22290,Confirmed Eruption,1.0,2018,9,4,2018,12,23,56.17,-159.38,2018-09-04,2018-12-23,110 days 00:00:00.000000000
47,290390,Alaid,22281,Confirmed Eruption,1.0,2018,8,20,2018,8,21,50.861,155.565,2018-08-20,2018-08-21,1 days 00:00:00.000000000
48,352090,Sangay,22283,Confirmed Eruption,2.0,2018,8,8,2018,12,7,-2.005,-78.341,2018-08-08,2018-12-07,121 days 00:00:00.000000000
49,345020,Rincon de la Vieja,22282,Confirmed Eruption,1.0,2018,7,28,2019,6,11,10.83,-85.324,2018-07-28,2019-06-11,318 days 00:00:00.000000000
50,284096,Nishinoshima,22280,Confirmed Eruption,1.0,2018,7,12,2018,7,21,27.247,140.874,2018-07-12,2018-07-21,9 days 00:00:00.000000000
51,233005,Mayotte,22337,Confirmed Eruption,0.0,2018,7,3,2019,8,20,-12.83,45.17,2018-07-03,2019-08-20,413 days 00:00:00.000000000
52,353050,"Negra, Sierra",22279,Confirmed Eruption,2.0,2018,6,26,2018,8,23,-0.83,-91.17,2018-06-26,2018-08-23,58 days 00:00:00.000000000
53,344040,Telica,22277,Confirmed Eruption,1.0,2018,6,21,2018,8,15,12.606,-86.84,2018-06-21,2018-08-15,55 days 00:00:00.000000000
54,262000,Krakatau,22275,Confirmed Eruption,3.0,2018,6,18,2020,2,19,-6.102,105.423,2018-06-18,2020-02-19,611 days 00:00:00.000000000
55,353010,Fernandina,22278,Confirmed Eruption,1.0,2018,6,16,2018,6,21,-0.37,-91.55,2018-06-16,2018-06-21,5 days 00:00:00.000000000
56,311120,Great Sitkin,22276,Confirmed Eruption,1.0,2018,6,10,2018,8,11,52.076,-176.13,2018-06-10,2018-08-11,62 days 00:00:00.000000000
57,252120,Ulawun,22285,Confirmed Eruption,1.0,2018,6,8,2018,6,8,-5.05,151.33,2018-06-08,2018-06-08,0 days 00:00:00.000000000
58,263250,Merapi,22264,Confirmed Eruption,3.0,2018,5,11,2020,2,19,-7.54,110.446,2018-05-11,2020-02-19,649 days 00:00:00.000000000
59,300130,Karymsky,22265,Confirmed Eruption,3.0,2018,4,28,2018,9,30,54.049,159.443,2018-04-28,2018-09-30,155 days 00:00:00.000000000
60,261140,Marapi,22262,Confirmed Eruption,2.0,2018,4,27,2018,5,2,-0.38,100.474,2018-04-27,2018-05-02,5 days 00:00:00.000000000
61,344020,San Cristobal,22266,Confirmed Eruption,1.0,2018,4,22,2018,4,22,12.702,-87.004,2018-04-22,2018-04-22,0 days 00:00:00.000000000
62,261170,Kerinci,22274,Confirmed Eruption,1.0,2018,4,21,2020,2,16,-1.697,101.264,2018-04-21,2020-02-16,666 days 00:00:00.000000000
63,223020,Nyamuragira,22315,Confirmed Eruption,0.0,2018,4,18,2020,2,20,-1.408,29.2,2018-04-18,2020-02-20,673 days 00:00:00.000000000
64,233020,"Fournaise, Piton de la",22261,Confirmed Eruption,0.0,2018,4,3,2018,11,1,-21.244,55.708,2018-04-03,2018-11-01,212 days 00:00:00.000000000
65,263200,Dieng Volcanic Complex,22263,Confirmed Eruption,1.0,2018,4,1,2018,4,1,-7.2,109.879,2018-04-01,2018-04-01,0 days 00:00:00.000000000
66,282090,Kirishimayama,22257,Confirmed Eruption,3.0,2018,3,1,2018,6,27,31.934,130.862,2018-03-01,2018-06-27,118 days 00:00:00.000000000
67,352090,Sangay,22259,Confirmed Eruption,1.0,2018,2,25,2018,2,25,-2.005,-78.341,2018-02-25,2018-02-25,0 days 00:00:00.000000000
68,267020,Karangetang,22256,Confirmed Eruption,1.0,2018,2,2,2018,2,2,2.781,125.407,2018-02-02,2018-02-02,0 days 00:00:00.000000000
69,283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,1.0,2018,1,23,2018,1,23,36.618,138.528,2018-01-23,2018-01-23,0 days 00:00:00.000000000
70,343100,San Miguel,22251,Confirmed Eruption,1.0,2018,1,14,2018,5,30,13.434,-88.269,2018-01-14,2018-05-30,136 days 00:00:00.000000000
71,273030,Mayon,22250,Confirmed Eruption,2.0,2018,1,13,2019,10,12,13.257,123.685,2018-01-13,2019-10-12,637 days 00:00:00.000000000
72,251002,Kadovar,22246,Confirmed Eruption,2.0,2018,1,5,2020,2,19,-3.608,144.588,2018-01-05,2020-02-19,775 days 00:00:00.000000000
73,351020,"Ruiz, Nevado del",22348,Uncertain Eruption,,2017,12,18,2017,12,18,4.892,-75.324,2017-12-18,2017-12-18,0 days 00:00:00.000000000
74,272020,Kanlaon,22249,Confirmed Eruption,2.0,2017,12,9,2017,12,9,10.412,123.132,2017-12-09,2017-12-09,0 days 00:00:00.000000000
75,264020,Agung,22241,Confirmed Eruption,3.0,2017,11,21,2019,6,13,-8.343,115.508,2017-11-21,2019-06-13,569 days 00:00:00.000000000
76,261230,Dempo,22248,Confirmed Eruption,1.0,2017,11,9,2017,11,9,-4.016,103.121,2017-11-09,2017-11-09,0 days 00:00:00.000000000
77,256010,Tinakula,22239,Confirmed Eruption,3.0,2017,10,21,2017,10,26,-10.386,165.804,2017-10-21,2017-10-26,5 days 00:00:00.000000000
