,Unnamed: 0,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,lon,start,end,delta,start_img,sat_lats,sat_lons,start_img_available_in_api
25,25,282110,Asosan,22317,Confirmed Eruption,,2019,4,16,2020,2,17,32.884,131.10399999999998,2019-04-16,2020-02-17,307 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/04/16/thumbs/epic_1b_20190416000830.jpg,17.358398,178.857422,13
26,26,300260,Klyuchevskoy,22310,Confirmed Eruption,,2019,4,9,2019,7,2,56.056000000000004,160.642,2019-04-09,2019-07-02,84 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/04/09/thumbs/epic_1b_20190409000830.jpg,13.139648,176.967773,13
27,27,352090,Sangay,22312,Confirmed Eruption,,2019,3,26,2020,2,19,-2.005,-78.34100000000001,2019-03-26,2020-02-19,330 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/03/26/thumbs/epic_1b_20190326000830.jpg,3.208008,173.737793,11
28,28,344020,San Cristobal,22311,Confirmed Eruption,,2019,3,4,2019,3,4,12.702,-87.00399999999999,2019-03-04,2019-03-04,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/03/04/thumbs/epic_1b_20190304001752.jpg,-12.084961,170.178223,13
29,29,233020,"Fournaise, Piton de la",22307,Confirmed Eruption,,2019,2,18,2019,3,10,-21.244,55.708,2019-02-18,2019-03-10,20 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/02/18/thumbs/epic_1b_20190218001751.jpg,-19.533691,171.254883,13
30,30,263310,Tengger Caldera,22306,Confirmed Eruption,2.0,2019,2,18,2019,7,28,-7.942,112.95,2019-02-18,2019-07-28,160 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/02/18/thumbs/epic_1b_20190218001751.jpg,-19.533691,171.254883,13
31,31,300130,Karymsky,22309,Confirmed Eruption,,2019,2,16,2019,9,24,54.049,159.44299999999998,2019-02-16,2019-09-24,220 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/02/16/thumbs/epic_1b_20190216005516.jpg,-20.412598,162.202148,13
32,32,345040,Poas,22303,Confirmed Eruption,,2019,2,7,2019,9,30,10.2,-84.23299999999999,2019-02-07,2019-09-30,235 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/02/07/thumbs/epic_1b_20190207004554.jpg,-23.649902,165.79834,13
33,33,261080,Sinabung,22316,Confirmed Eruption,,2019,2,6,2019,6,9,3.17,98.39200000000001,2019-02-06,2019-06-09,123 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2019/02/06/thumbs/epic_1b_20190206002712.jpg,-23.950195,170.639648,13
34,34,256010,Tinakula,22313,Confirmed Eruption,2.0,2018,12,8,2020,2,18,-10.386,165.804,2018-12-08,2020-02-18,437 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/12/08/thumbs/epic_1b_20181208024318.jpg,-22.895508,147.260742,12
35,35,267020,Karangetang,22294,Confirmed Eruption,2.0,2018,11,25,2020,2,19,2.781,125.40700000000001,2018-11-25,2020-02-19,451 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/11/25/thumbs/epic_1b_20181125003633.jpg,-18.947754,178.806152,13
36,36,357040,Planchon-Peteroa,22297,Confirmed Eruption,1.0,2018,11,7,2019,5,7,-35.223,-70.568,2018-11-07,2019-05-07,181 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/11/07/thumbs/epic_1b_20181107021516.jpg,-12.128906,151.347656,12
37,37,351020,"Ruiz, Nevado del",22298,Uncertain Eruption,,2018,10,26,2018,10,26,4.8919999999999995,-75.324,2018-10-26,2018-10-26,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/10/26/thumbs/epic_1b_20181026010436.jpg,-6.943359,165.651855,13
38,38,282050,Kuchinoerabujima,22296,Confirmed Eruption,3.0,2018,10,21,2019,2,3,30.443,130.217,2018-10-21,2019-02-03,105 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/10/21/thumbs/epic_1b_20181021041239.jpg,-4.943848,117.246094,2
